,0,1,2
stupid,0.0,0.003861734693877551,0.0
statements,0.0,0.003861734693877551,0.0
performance,0.0,0.005148979591836732,0.0
numbers,0.0,0.003861734693877551,0.0
list,0.0,0.003861734693877551,0.0
actual,0.0,0.003861734693877551,0.0
ranges,0.0,0.006178775510204091,0.0
convince,0.0,0.003861734693877551,0.0
statement,0.0,0.003861734693877551,0.0
absurd,0.0,0.003861734693877551,0.0
scsi-i,0.0,0.003861734693877551,0.0
scsi-ii,0.0,0.003861734693877551,0.0
always,0.0,0.003861734693877551,0.0
non-standard,0.0,0.003861734693877551,0.0
versions,0.0,0.003861734693877551,0.0
shows,0.0,0.003861734693877551,0.0
scsi-1,0.0,0.0070213358070500866,0.0
controler,0.0,0.003861734693877551,0.0
range,0.0,0.003861734693877551,0.0
indeed,0.0,0.005148979591836732,0.0
scsi-2,0.0,0.006865306122448981,0.0
controller,0.0,0.006178775510204091,0.0
burst,0.0,0.006436224489795921,0.0
note,0.0,0.003861734693877551,0.0
increase,0.0,0.003861734693877551,0.0
quadra,0.0,0.006178775510204091,0.0
exist,0.0,0.003861734693877551,0.0
mode,0.0,0.005792602040816325,0.0
fast,0.0,0.006178775510204091,0.0
data,0.0,0.003861734693877551,0.0
reach,0.0,0.003861734693877551,0.0
facts,0.0,0.003861734693877551,0.0
posted,0.0,0.003861734693877551,0.0
newsgroup,0.0,0.003861734693877551,0.0
ibm,0.0,0.005792602040816325,0.0
sheet,0.0,0.003861734693877551,0.0
available,0.0,0.003861734693877551,0.0
ftp,0.0,0.003861734693877551,0.0
sumex-aim.stanford.edu,0.0,0.003861734693877551,0.0
info-mac/report,0.0,0.003861734693877551,0.0
mac-ibm-compare,0.0,0.003861734693877551,0.0
may,0.0,0.003861734693877551,0.0
still,0.0,0.003861734693877551,0.0
part,0.0,0.003861734693877551,0.0
inconsiant,0.0,0.003861734693877551,0.0
though,0.0,0.003861734693877551,0.0
documented,0.0,0.003861734693877551,0.0
apple,0.0,0.003861734693877551,0.0
salesperson,0.0,0.003861734693877551,0.0
said,0.0,0.003861734693877551,0.0
maximum,0.0,0.003861734693877551,0.0
synchronous,0.0,0.003861734693877551,0.0
ansynchronous,0.0,0.003861734693877551,0.0
slower,0.0,0.003861734693877551,0.0
interface,0.0,0.005148979591836732,0.0
think,0.0,0.003861734693877551,0.0
driven,0.0,0.003861734693877551,0.0
true,0.0,0.003861734693877551,0.0
slam,0.0,0.003861734693877551,0.0
understand,0.0,0.003861734693877551,0.0
going,0.0,0.003861734693877551,0.0
digital,0.0,0.003861734693877551,0.0
review,0.0,0.003861734693877551,0.0
oct,0.0,0.003861734693877551,0.0
n33,0.0,0.003861734693877551,0.0
